review_id,order_id,product_id,user_id,rating,review_text,review_date
R00005286,O00002550,P000013,U000304,4,Fast shipping and good packaging.,2025-03-11T20:14:45.111842
R00009403,O00004552,P000197,U000590,3,Value for money.,2025-07-30T22:30:44.644554
R00015673,O00007492,P000176,U000321,5,Item arrived damaged.,2025-02-17T13:08:02.663491
R00003073,O00001478,P000179,U000714,3,"Not as expected, quality is poor.",2025-05-28T19:51:45.852789
R00012171,O00005842,P000025,U000673,5,Item arrived damaged.,2024-04-21T22:05:59.991158
R00005535,O00002672,P000066,U000077,4,Decent product for the price.,2024-06-24T15:15:58.167362
R00010869,O00005221,P000362,U000190,3,Item arrived damaged.,2025-06-21T09:18:28.231491
R00013733,O00006583,P000306,U000580,4,Value for money.,2024-01-12T18:13:20.563051
R00002214,O00001060,P000317,U000903,4,Color was different from images.,2024-09-30T08:58:23.584277
R00009439,O00004563,P000375,U000381,3,Decent product for the price.,2025-04-17T14:44:23.677139
R00000746,O00000344,P000319,U000441,1,Customer service was helpful.,2025-07-01T21:42:21.555869
R00009917,O00004771,P000209,U000124,3,Decent product for the price.,2025-03-15T16:30:06.470620
R00014818,O00007093,P000139,U000392,4,Decent product for the price.,2024-03-01T03:38:46.500181
R00012666,O00006069,P000217,U000755,3,"Excellent product, will buy again.",2024-03-25T15:03:58.101069
R00015011,O00007183,P000259,U000446,4,Highly recommend this brand.,2025-04-03T16:15:05.007673
R00004089,O00001961,P000205,U000517,3,Highly recommend this brand.,2025-02-22T22:07:43.611836
R00002190,O00001050,P000158,U000467,3,Works perfectly!,2025-06-13T11:47:26.999066
R00002239,O00001068,P000421,U000553,3,Highly recommend this brand.,2025-01-08T22:39:34.889978
R00009578,O00004622,P000278,U000869,3,Item arrived damaged.,2024-02-24T22:20:01.356271
R00008170,O00003935,P000029,U000238,4,Color was different from images.,2024-04-10T09:04:34.458927
R00007155,O00003448,P000306,U000358,4,Works perfectly!,2024-06-19T08:51:30.326466
R00004194,O00002011,P000002,U000035,4,Decent product for the price.,2025-08-09T07:22:37.395205
R00002965,O00001426,P000399,U000273,4,Works perfectly!,2024-10-20T11:01:49.007366
R00002500,O00001194,P000378,U000933,4,Highly recommend this brand.,2024-07-28T19:09:53.182414
R00005180,O00002498,P000430,U000176,3,Decent product for the price.,2024-08-18T18:09:13.890656
R00014422,O00006917,P000411,U000113,4,Works perfectly!,2025-02-05T08:14:29.780503
R00013756,O00006596,P000168,U000750,4,Color was different from images.,2024-07-15T15:36:12.637133
R00008332,O00004018,P000385,U000629,3,Item arrived damaged.,2025-08-21T02:40:04.177865
R00015772,O00007545,P000452,U000941,3,Works perfectly!,2024-12-09T20:09:44.924664
R00006022,O00002894,P000435,U000911,5,"Not as expected, quality is poor.",2024-05-02T06:41:23.891562
R00005800,O00002798,P000327,U000407,4,Customer service was helpful.,2024-02-14T07:18:41.637999
R00011205,O00005375,P000036,U000767,4,Value for money.,2024-12-19T12:04:15.675217
R00001622,O00000783,P000122,U000945,4,Item arrived damaged.,2025-02-05T07:02:43.099854
R00010112,O00004862,P000484,U000947,3,Value for money.,2024-10-14T03:02:01.355495
R00012403,O00005949,P000347,U001000,4,Highly recommend this brand.,2024-01-16T20:50:11.352064
R00003639,O00001747,P000127,U000346,3,Customer service was helpful.,2024-10-04T02:58:18.713645
R00009756,O00004695,P000314,U000834,5,Fast shipping and good packaging.,2024-06-26T14:44:55.559417
R00015825,O00007564,P000382,U000650,4,Item arrived damaged.,2025-06-13T12:08:32.816375
R00011175,O00005357,P000005,U000243,4,Color was different from images.,2024-08-25T13:33:03.179322
R00002453,O00001167,P000107,U000765,3,Decent product for the price.,2024-03-08T06:20:33.522516
R00002553,O00001214,P000177,U000217,3,Value for money.,2024-03-09T22:01:07.546512
R00007012,O00003384,P000404,U000177,3,Customer service was helpful.,2024-01-30T22:04:30.698177
R00011268,O00005407,P000199,U000588,2,Decent product for the price.,2024-03-03T07:37:45.637143
R00011777,O00005647,P000331,U000702,4,Works perfectly!,2025-07-11T13:57:15.986564
R00006814,O00003290,P000053,U000138,1,"Not as expected, quality is poor.",2024-09-10T19:29:04.222536
R00005495,O00002649,P000032,U000451,4,Color was different from images.,2024-05-14T02:44:22.690936
R00009520,O00004595,P000205,U000616,3,Works perfectly!,2025-05-27T19:55:36.431216
R00007546,O00003633,P000067,U000707,3,Value for money.,2024-02-26T06:24:30.947028
R00008810,O00004258,P000330,U000139,3,Value for money.,2025-05-11T17:25:13.078023
R00004528,O00002162,P000380,U000260,5,Decent product for the price.,2024-06-18T00:57:39.245238
R00008877,O00004289,P000201,U000874,3,Highly recommend this brand.,2024-01-21T01:06:48.660311
R00010526,O00005058,P000047,U000032,2,Fast shipping and good packaging.,2025-04-29T10:21:14.612283
R00016798,O00008000,P000118,U000085,2,Works perfectly!,2024-02-04T20:31:18.032558
R00001639,O00000789,P000406,U000479,3,"Not as expected, quality is poor.",2025-02-22T03:06:48.504003
R00001475,O00000702,P000028,U000822,4,"Not as expected, quality is poor.",2025-10-12T12:37:52.272900
R00009029,O00004370,P000018,U000027,5,Decent product for the price.,2024-10-16T22:28:43.815093
R00016342,O00007789,P000259,U000890,3,Highly recommend this brand.,2025-07-17T11:25:45.130304
R00002259,O00001077,P000323,U000810,3,Highly recommend this brand.,2024-06-12T23:12:06.851857
R00003899,O00001869,P000191,U000911,2,Decent product for the price.,2024-04-07T07:37:45.522949
R00014574,O00006981,P000065,U000914,4,Color was different from images.,2025-05-03T01:18:28.885700
R00008892,O00004298,P000151,U000575,2,Fast shipping and good packaging.,2025-03-15T00:46:27.287653
R00014800,O00007086,P000385,U000941,4,Item arrived damaged.,2024-12-11T13:57:38.529165
R00000811,O00000378,P000423,U000066,4,"Not as expected, quality is poor.",2024-02-06T03:56:11.881397
R00015326,O00007334,P000447,U000210,3,Item arrived damaged.,2024-02-09T23:35:00.854547
R00005957,O00002868,P000300,U000316,1,Item arrived damaged.,2024-04-21T14:21:47.961891
R00002925,O00001409,P000406,U000059,3,Decent product for the price.,2025-11-14T15:49:59.832789
R00012724,O00006095,P000387,U000978,4,Highly recommend this brand.,2024-05-17T22:11:41.798815
R00006954,O00003356,P000351,U000415,3,Highly recommend this brand.,2025-02-10T18:10:35.800411
R00005937,O00002858,P000290,U000700,5,Highly recommend this brand.,2025-01-11T17:15:22.385331
R00000755,O00000347,P000255,U000527,4,Item arrived damaged.,2025-02-09T01:59:35.079529
R00001417,O00000674,P000005,U000188,5,Highly recommend this brand.,2025-02-17T09:40:47.464718
R00000226,O00000104,P000445,U000177,2,Color was different from images.,2025-10-17T05:58:32.628988
R00004410,O00002103,P000017,U000620,3,Fast shipping and good packaging.,2024-02-24T20:15:58.137327
R00001683,O00000808,P000424,U000871,4,Customer service was helpful.,2025-07-06T09:21:36.630134
R00011951,O00005731,P000277,U000426,2,Highly recommend this brand.,2024-01-23T04:25:55.772533
R00001020,O00000478,P000330,U000854,4,"Not as expected, quality is poor.",2024-01-10T00:47:42.672892
R00001066,O00000504,P000312,U000026,3,"Excellent product, will buy again.",2024-07-22T16:54:54.175334
R00016278,O00007760,P000217,U000808,3,Fast shipping and good packaging.,2025-10-02T18:17:30.516639
R00007889,O00003796,P000300,U000955,4,"Not as expected, quality is poor.",2025-07-10T06:59:29.051090
R00006728,O00003254,P000082,U000798,3,Decent product for the price.,2024-06-13T15:21:42.387880
R00000301,O00000144,P000334,U000558,1,Decent product for the price.,2025-05-28T03:29:15.343921
R00016291,O00007767,P000282,U000531,1,Highly recommend this brand.,2024-12-05T12:36:24.217204
R00000205,O00000095,P000240,U000957,3,Value for money.,2024-03-08T15:33:57.307703
R00011096,O00005314,P000374,U000290,2,Highly recommend this brand.,2025-07-16T16:23:13.713041
R00013403,O00006425,P000033,U000467,4,Highly recommend this brand.,2025-06-05T03:48:11.776309
R00009333,O00004521,P000377,U000546,4,Customer service was helpful.,2025-01-14T11:12:03.156908
R00011884,O00005696,P000289,U000965,5,Color was different from images.,2024-02-01T04:21:32.953050
R00013422,O00006435,P000244,U000247,4,"Excellent product, will buy again.",2025-05-27T11:06:49.274064
R00011549,O00005533,P000327,U000188,3,Color was different from images.,2025-08-28T02:01:19.565361
R00006228,O00002998,P000196,U000701,5,Decent product for the price.,2025-06-02T05:55:02.110880
R00015149,O00007251,P000396,U000503,2,Decent product for the price.,2025-08-27T17:29:08.159733
R00007314,O00003515,P000346,U000099,4,Decent product for the price.,2024-04-16T10:08:02.186651
R00009939,O00004780,P000358,U000641,3,Color was different from images.,2025-11-06T13:59:53.501048
R00005807,O00002802,P000174,U000050,3,Highly recommend this brand.,2024-08-30T16:02:40.290321
R00004692,O00002238,P000357,U000172,5,Item arrived damaged.,2025-05-04T06:11:03.282771
R00011395,O00005462,P000320,U000739,3,Value for money.,2025-10-30T19:03:38.454032
R00012635,O00006058,P000453,U000881,4,"Excellent product, will buy again.",2025-11-08T14:05:17.840589
R00013485,O00006463,P000135,U000695,2,Works perfectly!,2025-05-08T16:23:17.539265
R00004067,O00001949,P000465,U000813,2,"Excellent product, will buy again.",2024-06-25T17:24:37.168072
R00012955,O00006213,P000022,U000788,3,Works perfectly!,2025-02-01T23:23:37.697609
R00001277,O00000606,P000426,U000944,5,Highly recommend this brand.,2024-07-13T20:50:31.106207
R00015318,O00007329,P000043,U000139,4,Decent product for the price.,2025-10-31T01:50:50.404074
R00015740,O00007532,P000487,U000637,3,Item arrived damaged.,2024-11-15T04:40:46.332050
R00000642,O00000303,P000472,U000012,3,Color was different from images.,2024-12-24T08:04:17.187024
R00016403,O00007814,P000090,U000297,3,Value for money.,2025-08-16T06:10:58.395255
R00000165,O00000078,P000024,U000233,4,Value for money.,2025-09-22T03:28:40.885422
R00003601,O00001727,P000297,U000274,5,"Not as expected, quality is poor.",2025-03-06T00:30:52.499891
R00000946,O00000443,P000311,U000208,3,Color was different from images.,2024-02-22T16:42:36.792951
R00011531,O00005526,P000275,U000417,4,Fast shipping and good packaging.,2025-10-17T09:53:01.190411
R00011127,O00005329,P000381,U000081,2,Item arrived damaged.,2024-08-21T01:21:35.740957
R00013460,O00006449,P000119,U000230,5,Color was different from images.,2024-08-18T23:38:10.345527
R00003980,O00001909,P000093,U000698,4,Works perfectly!,2024-04-23T07:17:07.203882
R00006908,O00003336,P000387,U000787,3,"Not as expected, quality is poor.",2024-03-22T15:44:22.969732
R00007847,O00003778,P000112,U000211,2,Decent product for the price.,2024-11-19T05:21:07.211414
R00004091,O00001963,P000396,U000917,4,Color was different from images.,2024-04-23T20:44:06.425610
R00010232,O00004927,P000309,U000952,2,Works perfectly!,2024-12-27T11:36:07.261607
R00014293,O00006856,P000481,U000365,4,"Not as expected, quality is poor.",2025-08-16T04:25:13.715552
R00016129,O00007694,P000446,U000978,2,Works perfectly!,2024-10-30T10:48:13.904474
R00005647,O00002727,P000003,U000468,3,Fast shipping and good packaging.,2025-05-24T08:37:25.477389
R00007975,O00003836,P000181,U000160,4,"Not as expected, quality is poor.",2024-11-18T14:59:52.796736
R00012794,O00006129,P000440,U000797,3,Value for money.,2025-06-17T02:27:36.202762
R00006194,O00002982,P000059,U000238,4,"Not as expected, quality is poor.",2025-02-13T12:59:11.214791
R00006860,O00003319,P000068,U000692,3,Item arrived damaged.,2024-02-08T11:12:16.609118
R00001505,O00000716,P000488,U000310,5,"Not as expected, quality is poor.",2024-06-04T01:28:04.373237
R00003528,O00001694,P000055,U000472,2,Fast shipping and good packaging.,2024-03-17T13:47:22.056689
R00006708,O00003242,P000497,U000707,5,Decent product for the price.,2024-10-11T04:52:37.207432
R00007148,O00003446,P000020,U000010,4,Value for money.,2024-10-18T21:33:37.307942
R00006926,O00003345,P000472,U000425,3,Customer service was helpful.,2025-01-12T22:14:50.223973
R00007301,O00003509,P000424,U000279,3,Decent product for the price.,2024-12-16T04:45:26.847821
R00014423,O00006917,P000205,U000113,3,Highly recommend this brand.,2025-06-16T23:18:06.545952
R00007286,O00003503,P000473,U000440,3,Customer service was helpful.,2024-11-17T11:13:07.872215
R00005210,O00002510,P000395,U000594,5,"Excellent product, will buy again.",2025-07-24T23:54:19.084217
R00011540,O00005529,P000018,U000115,4,Decent product for the price.,2024-03-29T18:26:36.772239
R00001168,O00000554,P000273,U000822,4,Color was different from images.,2024-05-18T17:12:27.582054
R00015316,O00007329,P000042,U000139,4,Decent product for the price.,2025-02-11T11:22:14.091270
R00010604,O00005093,P000387,U000340,4,Color was different from images.,2025-06-02T14:05:14.122025
R00009515,O00004592,P000219,U000806,3,Works perfectly!,2025-03-09T11:31:45.900276
R00006122,O00002939,P000255,U000884,5,"Not as expected, quality is poor.",2024-09-19T18:58:57.274009
R00015198,O00007276,P000081,U000564,5,Item arrived damaged.,2024-11-25T02:05:42.192003
R00012910,O00006196,P000182,U000010,5,Color was different from images.,2025-06-14T00:39:31.691501
R00014969,O00007168,P000178,U000203,4,Color was different from images.,2025-01-01T06:20:18.361951
R00001984,O00000954,P000449,U000401,2,"Excellent product, will buy again.",2024-11-27T20:27:46.996618
R00015291,O00007316,P000455,U000950,5,"Not as expected, quality is poor.",2025-07-26T20:25:14.864693
R00016720,O00007964,P000078,U000268,4,Highly recommend this brand.,2024-01-28T13:51:59.532269
R00001905,O00000916,P000106,U000522,5,"Excellent product, will buy again.",2025-08-23T18:16:55.681797
R00013878,O00006658,P000067,U000263,2,Works perfectly!,2025-01-17T19:20:56.353456
R00005722,O00002763,P000496,U000018,2,Customer service was helpful.,2024-03-13T12:47:30.413587
R00014161,O00006792,P000457,U000019,5,Fast shipping and good packaging.,2025-09-09T14:38:04.213467
R00013511,O00006478,P000272,U000823,4,Customer service was helpful.,2024-05-04T12:42:58.730260
R00002994,O00001438,P000213,U000373,3,Color was different from images.,2024-07-15T04:02:33.540481
R00015186,O00007270,P000497,U000388,5,Highly recommend this brand.,2024-01-11T04:59:53.409599
R00008562,O00004126,P000368,U000982,3,"Excellent product, will buy again.",2025-05-09T09:23:59.227413
R00007121,O00003434,P000312,U000910,3,"Not as expected, quality is poor.",2025-01-10T13:03:23.978288
R00010389,O00004995,P000345,U000710,4,Works perfectly!,2025-06-20T12:21:04.909621
R00004547,O00002169,P000091,U000158,3,Works perfectly!,2024-11-14T10:00:38.095813
R00014670,O00007026,P000425,U000856,4,Value for money.,2025-10-25T16:07:34.718763
R00012518,O00006007,P000131,U000356,3,Value for money.,2024-01-22T12:44:23.849450
R00010917,O00005240,P000357,U000864,4,Color was different from images.,2024-04-26T02:03:54.139366
R00005279,O00002547,P000149,U000770,4,Item arrived damaged.,2024-06-24T17:09:29.386422
R00008125,O00003911,P000198,U000198,4,"Not as expected, quality is poor.",2025-08-16T19:09:56.981956
R00003215,O00001542,P000197,U000315,3,Value for money.,2024-05-12T19:14:34.193785
R00008621,O00004155,P000208,U000044,3,Item arrived damaged.,2025-06-09T08:01:09.526489
R00008281,O00003995,P000083,U000498,4,Color was different from images.,2024-05-25T21:19:26.245561
R00012222,O00005864,P000221,U000163,5,Works perfectly!,2024-09-27T08:36:38.302920
R00002460,O00001172,P000498,U000065,1,Works perfectly!,2024-05-07T09:02:08.930778
R00007771,O00003744,P000278,U000345,4,Value for money.,2025-10-25T16:04:53.707325
R00000059,O00000028,P000117,U000642,5,Customer service was helpful.,2024-03-24T03:13:41.255004
R00012177,O00005843,P000279,U000447,4,Works perfectly!,2025-02-04T04:40:35.141533
R00001394,O00000665,P000190,U000699,4,Highly recommend this brand.,2025-06-23T21:50:18.720735
R00002243,O00001069,P000386,U000447,2,Decent product for the price.,2024-09-19T23:09:37.146204
R00014713,O00007051,P000104,U000765,3,Highly recommend this brand.,2025-04-02T12:29:34.150057
R00005935,O00002856,P000194,U000126,3,Fast shipping and good packaging.,2024-09-18T13:54:59.155637
R00004352,O00002079,P000007,U000307,3,Works perfectly!,2024-08-29T01:11:18.263684
R00008112,O00003907,P000361,U000980,3,"Not as expected, quality is poor.",2024-11-07T19:56:17.132176
R00001751,O00000839,P000335,U000303,4,Color was different from images.,2024-09-29T12:18:41.336621
R00008140,O00003918,P000139,U000629,3,Decent product for the price.,2024-11-18T22:58:31.177443
R00015979,O00007631,P000424,U000026,3,Fast shipping and good packaging.,2024-09-23T00:43:59.090110
R00006723,O00003251,P000278,U000124,5,Value for money.,2024-10-29T15:49:03.110266
R00012085,O00005798,P000143,U000430,3,"Excellent product, will buy again.",2025-04-11T22:12:11.732273
R00013023,O00006248,P000085,U000840,4,Value for money.,2024-02-15T08:16:10.227653
R00001879,O00000903,P000152,U000941,4,Value for money.,2025-02-27T21:42:48.073956
R00007281,O00003502,P000265,U000753,2,Highly recommend this brand.,2024-03-21T23:33:31.186538
R00009798,O00004716,P000013,U000020,4,"Not as expected, quality is poor.",2025-01-30T09:30:06.111916
R00009736,O00004685,P000145,U000301,3,"Not as expected, quality is poor.",2025-11-03T01:25:18.134665
R00004947,O00002374,P000171,U000086,5,Fast shipping and good packaging.,2025-09-29T03:47:54.111911
R00008369,O00004038,P000263,U000274,3,"Not as expected, quality is poor.",2025-04-21T17:38:51.411279
R00001379,O00000659,P000421,U000984,3,Decent product for the price.,2025-10-04T16:31:24.892682
R00006624,O00003200,P000311,U000329,4,"Excellent product, will buy again.",2025-10-07T05:34:20.736350
R00004257,O00002042,P000124,U000951,4,"Excellent product, will buy again.",2024-03-02T04:17:28.177338
R00014314,O00006867,P000122,U000329,3,Value for money.,2024-02-07T13:32:44.068335
R00011293,O00005418,P000051,U000403,4,"Not as expected, quality is poor.",2024-03-19T23:03:51.487314
R00012729,O00006099,P000296,U000518,3,Item arrived damaged.,2024-10-05T02:17:26.505222
R00006660,O00003225,P000415,U000622,5,Customer service was helpful.,2024-07-22T23:06:59.243801
R00000681,O00000314,P000110,U000744,2,Decent product for the price.,2024-04-09T07:27:56.294157
R00014936,O00007153,P000260,U000707,2,"Excellent product, will buy again.",2024-02-19T17:26:13.583161
R00013295,O00006374,P000286,U000525,5,"Excellent product, will buy again.",2024-11-24T13:18:22.100314
R00006609,O00003195,P000375,U000995,3,Decent product for the price.,2024-01-07T14:21:06.463241
R00014150,O00006785,P000280,U000305,4,Item arrived damaged.,2024-05-15T04:12:40.059690
R00008465,O00004083,P000278,U000944,4,Highly recommend this brand.,2024-02-01T18:02:29.799736
R00011387,O00005461,P000457,U000277,5,Works perfectly!,2025-10-05T15:44:04.148178
R00008514,O00004104,P000150,U000954,4,Works perfectly!,2025-07-10T08:17:02.496548
R00002604,O00001243,P000118,U000319,3,Works perfectly!,2024-12-23T12:20:36.466934
R00006774,O00003273,P000177,U000036,3,Highly recommend this brand.,2024-06-25T11:46:54.826012
R00000489,O00000228,P000216,U000378,5,Highly recommend this brand.,2025-06-18T17:32:02.358775
R00007627,O00003673,P000052,U000886,2,Fast shipping and good packaging.,2024-07-11T22:26:58.779915
R00014296,O00006858,P000467,U000386,4,Item arrived damaged.,2024-05-24T22:14:36.760092
R00004407,O00002102,P000416,U000047,1,Fast shipping and good packaging.,2025-05-26T16:06:48.914096
R00009339,O00004525,P000060,U000507,4,Value for money.,2024-03-17T22:54:08.197227
R00003137,O00001501,P000117,U000190,4,Decent product for the price.,2025-01-03T02:59:09.500746
R00002485,O00001183,P000313,U000376,4,Value for money.,2024-05-31T22:30:32.075320
R00003916,O00001879,P000182,U000961,2,Fast shipping and good packaging.,2024-04-03T16:13:46.101520
R00009478,O00004577,P000393,U000897,5,Customer service was helpful.,2025-01-05T14:40:11.788065
R00006965,O00003362,P000046,U000791,5,"Not as expected, quality is poor.",2024-07-19T07:10:41.788020
R00016346,O00007791,P000210,U000391,2,Fast shipping and good packaging.,2024-02-15T02:46:23.857493
R00007576,O00003647,P000314,U000051,4,Value for money.,2024-01-17T03:10:22.133654
R00004008,O00001923,P000375,U000414,4,"Not as expected, quality is poor.",2024-07-25T04:14:17.986140
R00009298,O00004503,P000048,U000256,5,Decent product for the price.,2024-03-14T06:45:35.174186
R00004868,O00002333,P000338,U000851,4,Fast shipping and good packaging.,2024-10-17T18:13:05.059106
R00005320,O00002567,P000441,U000371,2,Color was different from images.,2025-07-07T14:36:00.357801
R00010528,O00005060,P000475,U000067,5,Color was different from images.,2024-02-21T00:32:21.614290
R00000631,O00000297,P000165,U000064,3,Customer service was helpful.,2024-01-11T13:57:36.191805
R00014059,O00006740,P000256,U000152,4,Item arrived damaged.,2025-08-09T23:25:03.165112
R00010218,O00004920,P000073,U000220,4,Customer service was helpful.,2024-02-02T01:06:05.089928
R00007382,O00003542,P000241,U000733,3,Decent product for the price.,2024-03-10T00:55:57.251019
R00011574,O00005545,P000182,U000985,2,Fast shipping and good packaging.,2025-09-15T12:41:37.163682
R00009595,O00004631,P000066,U000455,3,Works perfectly!,2024-09-14T21:46:03.151068
R00007160,O00003451,P000259,U000528,3,Customer service was helpful.,2025-05-07T06:30:56.307597
R00010294,O00004952,P000372,U000110,3,Decent product for the price.,2025-06-06T08:05:21.788924
R00009471,O00004575,P000292,U000546,2,"Excellent product, will buy again.",2025-05-03T14:03:46.684149
R00005237,O00002527,P000196,U000487,5,Decent product for the price.,2025-11-07T14:04:45.735609
R00014647,O00007016,P000093,U000398,2,Item arrived damaged.,2025-04-22T15:03:40.054591
R00004327,O00002068,P000329,U000265,3,Color was different from images.,2024-10-03T12:39:30.523217
R00007757,O00003735,P000247,U000949,4,Customer service was helpful.,2025-06-27T05:23:20.028751
R00006531,O00003153,P000260,U000720,4,Decent product for the price.,2024-06-07T01:32:49.674872
R00015040,O00007199,P000348,U000148,4,Highly recommend this brand.,2025-08-16T12:45:12.617131
R00001209,O00000572,P000265,U000042,4,Fast shipping and good packaging.,2025-02-24T07:02:56.678578
R00014542,O00006972,P000185,U000005,4,Value for money.,2024-08-13T17:11:43.301263
R00004271,O00002047,P000178,U000213,1,Customer service was helpful.,2024-07-30T22:37:55.495255
R00013227,O00006340,P000165,U000182,3,Highly recommend this brand.,2024-03-03T01:10:51.948410
R00008531,O00004112,P000316,U000381,3,Works perfectly!,2024-01-03T03:33:02.165476
R00007898,O00003800,P000192,U000727,3,Decent product for the price.,2024-01-12T16:19:09.691562
R00007810,O00003763,P000288,U000570,3,Item arrived damaged.,2024-03-22T01:09:25.896044
R00014355,O00006886,P000131,U000458,2,Works perfectly!,2025-06-04T13:27:48.177502
R00016653,O00007928,P000177,U000884,4,Color was different from images.,2025-09-15T20:46:13.757587
R00013757,O00006597,P000249,U000816,4,Value for money.,2024-10-14T16:45:07.444235
R00001110,O00000526,P000250,U000055,4,Highly recommend this brand.,2025-06-09T19:06:03.000924
R00004128,O00001976,P000164,U000218,3,"Not as expected, quality is poor.",2024-04-16T08:09:51.292479
R00010891,O00005231,P000474,U000119,5,Fast shipping and good packaging.,2024-12-11T19:20:39.468780
R00000963,O00000449,P000039,U000682,2,Highly recommend this brand.,2025-07-06T22:26:42.163878
R00003326,O00001599,P000240,U000593,2,"Excellent product, will buy again.",2025-06-22T11:17:56.283155
R00004019,O00001930,P000444,U000716,4,Value for money.,2025-08-08T04:15:40.038340
R00016752,O00007980,P000180,U000701,1,Item arrived damaged.,2024-03-24T15:20:23.944064
R00013848,O00006642,P000431,U000035,4,Item arrived damaged.,2024-11-19T03:52:52.609176
R00012574,O00006027,P000403,U000137,5,Color was different from images.,2025-01-12T10:30:18.850016
R00002103,O00001009,P000291,U000916,4,Customer service was helpful.,2024-08-07T12:44:30.242421
R00016240,O00007744,P000296,U000414,2,Decent product for the price.,2025-06-07T04:53:59.945484
R00009217,O00004463,P000498,U000630,2,Item arrived damaged.,2025-08-14T03:09:23.436437
R00001817,O00000871,P000314,U000470,4,Works perfectly!,2024-04-03T13:58:01.774323
R00015800,O00007555,P000483,U000423,5,Customer service was helpful.,2025-06-10T23:21:10.134693
R00013297,O00006374,P000162,U000525,5,Decent product for the price.,2025-09-11T14:09:06.720335
R00003194,O00001532,P000316,U000169,5,Customer service was helpful.,2025-09-12T19:16:57.474527
R00015395,O00007362,P000261,U000549,3,"Excellent product, will buy again.",2024-08-13T09:19:52.850089
R00010126,O00004868,P000158,U000265,4,Customer service was helpful.,2024-03-08T08:39:24.354574
R00008082,O00003892,P000373,U000241,4,"Excellent product, will buy again.",2024-06-09T04:47:41.892847
R00002106,O00001010,P000166,U000816,4,Color was different from images.,2024-09-11T12:39:23.266884
R00006102,O00002931,P000028,U000030,5,Color was different from images.,2025-01-19T22:42:54.665176
R00003360,O00001615,P000172,U000919,2,"Excellent product, will buy again.",2024-12-12T13:49:02.468700
