order_id,user_id,order_datetime,num_items,subtotal,shipping_fee,tax,discount_total,total,payment_method,order_status,shipping_city,shipping_country
O00000026,U000117,2025-01-27T13:33:24.337327,1,83.68,6.9,5.31,0.0,95.89,Debit Card,cancelled,Erikaton,Ireland
O00000027,U000602,2024-11-16T10:01:21.354572,2,191.25,0.0,13.33,0.0,204.58,Gift Card,completed,Terrifurt,Tunisia
O00000028,U000642,2025-03-20T17:15:22.942014,6,643.48,0.0,71.94,0.0,715.42,Gift Card,processing,Peterberg,Argentina
O00000029,U000813,2024-05-10T13:36:30.565448,2,502.85,0.0,47.07,0.0,549.92,COD,shipped,Michaelmouth,Bosnia and Herzegovina
O00000030,U000245,2024-02-19T23:44:23.167073,1,131.56,0.0,11.8,0.0,143.36,Paypal,completed,South Stephanie,Algeria
O00000031,U000523,2025-04-12T19:46:29.492290,1,102.92,0.0,11.55,0.0,114.47,COD,returned,West Jeremybury,Slovakia (Slovak Republic)
O00000032,U000552,2025-07-13T08:16:43.291253,1,250.51,0.0,17.67,0.0,268.18,UPI,processing,Biancashire,Netherlands Antilles
O00000033,U000234,2024-11-14T13:10:48.583469,1,114.68,0.0,5.97,0.0,120.65,Debit Card,returned,South Diana,Reunion
O00000034,U000728,2025-08-31T07:39:52.454668,1,56.45,5.08,3.79,0.0,65.32,Debit Card,returned,Wolffort,Jamaica
O00000035,U000422,2025-11-11T03:14:39.583518,1,36.58,10.13,2.14,0.0,48.85,Paypal,completed,West Caitlinhaven,Afghanistan
O00000036,U000580,2024-04-14T02:36:08.859682,2,125.65,0.0,11.27,0.0,136.92,Paypal,cancelled,New Matthewland,Bermuda
O00000037,U000876,2024-08-14T00:19:47.037102,4,1035.69,0.0,59.25,0.0,1094.94,Paypal,processing,Lisaside,Saint Kitts and Nevis
O00000038,U000858,2024-05-04T06:21:26.872680,1,52.57,10.36,5.1,0.0,68.03,COD,shipped,Waltersstad,Bulgaria
O00000039,U000338,2025-01-28T10:52:24.198981,2,226.7,0.0,24.24,0.0,250.94,Debit Card,cancelled,West Candice,Armenia
O00000040,U000447,2024-11-06T13:38:12.734857,3,480.29,0.0,44.23,104.98,524.52,COD,shipped,New Amanda,Turkey
O00000041,U000024,2025-06-18T06:44:58.574607,1,216.09,0.0,11.13,0.0,227.22,Credit Card,processing,North Amandahaven,Nigeria
O00000042,U000857,2025-05-20T18:57:09.254236,5,949.86,0.0,107.06,0.0,1056.92,COD,completed,North Samuelshire,Bermuda
O00000043,U000578,2025-10-10T18:38:11.741026,3,229.28,0.0,18.13,46.41,247.41,Paypal,returned,Morrisville,Montserrat
O00000044,U000619,2025-08-31T08:20:26.998633,1,83.55,6.44,4.64,0.0,94.63,Paypal,shipped,Guerreroshire,Bhutan
O00000045,U000399,2024-10-01T14:28:01.126076,1,275.59,0.0,21.37,0.0,296.96,UPI,shipped,Robertberg,Gambia
O00000046,U000521,2024-07-19T23:14:49.685091,2,889.5,0.0,101.17,0.0,990.67,Paypal,processing,Jasonview,Haiti
O00000047,U000862,2025-03-02T14:29:27.196265,1,219.85,0.0,23.7,29.19,243.55,Debit Card,completed,Lake Ashley,Algeria
O00000048,U000995,2024-09-23T17:22:41.168874,4,832.86,0.0,46.77,0.0,879.63,UPI,returned,South Neil,Turkey
O00000049,U000704,2024-01-06T20:09:29.700803,1,688.21,0.0,60.31,0.0,748.52,Credit Card,completed,South Brianhaven,Palestinian Territory
O00000050,U000511,2024-08-08T12:15:38.908877,2,141.05,0.0,8.15,0.0,149.2,Paypal,completed,West Brianton,Andorra
O00000051,U000556,2024-04-12T22:31:28.593400,5,1393.04,0.0,159.84,0.0,1552.88,COD,shipped,Kimberlychester,Finland
O00000052,U000812,2025-08-08T05:06:47.363899,2,293.43,0.0,26.67,19.33,320.1,Gift Card,shipped,Cruzstad,Denmark
O00000053,U000826,2025-02-03T17:07:27.566733,1,13.58,7.93,0.91,0.0,22.42,Gift Card,shipped,Wilcoxburgh,Palau
O00000054,U000709,2025-06-09T03:51:26.693478,1,3347.07,0.0,242.78,0.0,3589.85,UPI,shipped,East Nicoleburgh,Yemen
O00000055,U000766,2024-12-30T03:17:30.977750,1,229.53,0.0,15.72,0.0,245.25,Paypal,completed,Rowlandtown,Chile
O00000056,U000459,2025-03-23T01:42:21.934505,1,8.2,10.6,0.55,0.0,19.35,UPI,cancelled,Lynchmouth,France
O00000057,U000037,2024-05-17T00:38:33.933540,1,114.78,0.0,6.34,0.0,121.12,Gift Card,completed,Ramosborough,Gibraltar
O00000058,U000733,2025-07-15T22:09:01.124457,3,173.08,0.0,13.32,0.0,186.4,Gift Card,completed,South Austin,Egypt
O00000059,U000866,2025-09-24T22:39:11.083603,3,187.32,0.0,16.1,0.0,203.42,Paypal,returned,Garciashire,Fiji
O00000060,U000019,2025-09-02T23:29:09.161282,2,168.69,0.0,18.45,0.0,187.14,Credit Card,cancelled,Lake Yvettetown,Bolivia
O00000061,U000120,2025-05-03T23:52:18.039404,1,28.13,6.59,3.33,0.0,38.05,COD,processing,Kyleborough,Andorra
O00000062,U000773,2025-01-29T13:40:09.746606,3,190.49,0.0,18.68,7.42,209.17,COD,completed,Davisstad,Namibia
O00000063,U000555,2024-05-09T04:07:06.700011,1,243.73,0.0,27.14,0.0,270.87,UPI,completed,Moniqueport,Mayotte
O00000064,U000962,2024-04-11T10:13:36.906239,2,289.38,0.0,18.26,0.0,307.64,Credit Card,shipped,Lake Charles,South Africa
O00000065,U000644,2024-07-30T00:02:06.034773,2,99.76,5.76,11.46,0.0,116.98,Credit Card,returned,South Kennethtown,Australia
O00000066,U000328,2024-03-10T00:19:00.572651,1,15.07,4.78,1.28,0.0,21.13,COD,returned,Lake Lisa,Puerto Rico
O00000067,U000263,2024-12-30T20:39:22.935836,4,650.41,0.0,45.91,47.39,696.32,Gift Card,cancelled,West Patrickchester,Bahamas
O00000068,U000472,2025-10-08T00:49:31.789167,4,269.11,0.0,26.29,0.0,295.4,UPI,cancelled,Lake Linda,Faroe Islands
O00000069,U000891,2024-01-27T23:39:13.288534,2,59.31,3.95,3.11,0.0,66.37,Paypal,cancelled,Port Clifford,Saudi Arabia
O00000070,U000085,2024-03-28T02:08:35.760949,2,507.82,0.0,47.44,4.34,555.26,UPI,shipped,West Markchester,Bulgaria
O00000071,U000861,2024-08-26T09:17:51.947829,1,182.08,0.0,10.4,0.0,192.48,UPI,returned,South Susanland,Isle of Man
O00000072,U000009,2024-02-17T09:05:06.397523,2,158.26,0.0,10.17,0.0,168.43,UPI,returned,Port Erin,Cape Verde
O00000073,U000972,2025-08-18T11:02:53.303118,4,1214.33,0.0,113.6,8.77,1327.93,UPI,returned,Davismouth,Angola
O00000074,U000481,2025-09-27T01:41:22.862128,5,1286.68,0.0,94.25,0.0,1380.93,Gift Card,cancelled,East Lisashire,Bahamas
O00000075,U000742,2025-03-26T04:28:12.663676,2,155.22,0.0,12.41,0.0,167.63,Credit Card,cancelled,West Morganville,New Zealand
O00000076,U000051,2024-05-17T23:07:50.268404,1,48.04,10.99,2.98,0.0,62.01,Credit Card,processing,North Heidi,Belarus
O00000077,U000122,2024-04-21T16:33:02.650844,1,54.15,7.53,2.71,0.0,64.39,Debit Card,shipped,South Cheryl,Philippines
O00000078,U000233,2025-11-08T20:18:55.953767,3,543.7,0.0,58.98,17.97,602.68,COD,processing,Lake Kevin,United States of America
O00000079,U000382,2024-06-08T08:34:50.893355,1,203.36,0.0,12.25,0.0,215.61,Credit Card,completed,Charlesburgh,San Marino
O00000080,U000552,2025-09-21T04:43:17.512529,5,2589.27,0.0,176.11,0.0,2765.38,Gift Card,returned,Biancashire,Netherlands Antilles
O00000081,U000440,2025-06-12T06:49:15.784285,1,11.07,3.62,0.83,0.0,15.52,UPI,returned,Port Devin,Burundi
O00000082,U000262,2024-01-19T16:05:54.082868,3,283.9,0.0,32.12,0.0,316.02,COD,shipped,Seanberg,Falkland Islands (Malvinas)
O00000083,U000678,2025-08-23T07:17:55.486100,1,537.6,0.0,54.28,184.73,591.88,Credit Card,cancelled,South Patrickchester,Nigeria
O00000084,U000409,2025-10-07T23:03:03.572562,1,8.7,10.78,0.84,0.0,20.32,Debit Card,returned,Barkerberg,Armenia
O00000085,U000461,2024-03-25T04:58:31.409789,4,804.46,0.0,60.46,0.0,864.92,UPI,completed,Port Christina,Saint Pierre and Miquelon
O00000086,U000638,2025-10-10T10:35:34.194174,4,1835.74,0.0,204.5,0.0,2040.24,UPI,processing,Gutierrezchester,Burundi
O00000087,U000232,2024-01-18T09:21:30.745709,1,511.7,0.0,41.68,0.0,553.38,COD,cancelled,Lake Kristenmouth,Aruba
O00000088,U000698,2025-08-16T09:25:05.680254,2,1366.36,0.0,153.25,0.0,1519.61,Gift Card,processing,Valdezberg,American Samoa
O00000089,U000337,2025-08-07T06:21:07.395323,1,83.76,11.95,6.0,0.0,101.71,Credit Card,processing,South Billyview,Saint Pierre and Miquelon
O00000090,U000340,2024-05-22T16:07:14.406412,1,63.36,6.42,5.88,0.0,75.66,Gift Card,shipped,Jefferyhaven,Guyana
O00000091,U000858,2024-02-03T15:54:06.538251,6,2806.68,0.0,274.11,0.28,3080.79,COD,returned,Waltersstad,Bulgaria
O00000092,U000637,2024-10-26T23:11:06.573811,4,416.47,0.0,44.14,0.0,460.61,Credit Card,shipped,North Joseph,France
O00000093,U000090,2024-05-15T20:50:13.284150,1,500.59,0.0,45.81,78.06,546.4,Credit Card,shipped,South Shawn,Tuvalu
O00000094,U000193,2025-06-11T08:28:08.440875,1,0.78,7.16,0.08,0.0,8.02,Credit Card,completed,Hopkinstown,Papua New Guinea
O00000095,U000957,2025-02-07T17:00:19.648222,3,1031.36,0.0,113.58,0.0,1144.94,UPI,processing,East Bobby,Saudi Arabia
O00000096,U000956,2024-03-26T06:14:35.462408,5,428.98,0.0,23.87,25.78,452.85,Debit Card,completed,East Kennethmouth,Fiji
O00000097,U000130,2025-10-24T23:06:21.276934,1,88.54,6.51,9.46,0.0,104.51,UPI,shipped,Carloshaven,Belize
O00000098,U000747,2024-12-12T14:02:30.798953,1,33.21,11.72,1.89,0.0,46.82,Paypal,returned,Holdertown,Botswana
O00000099,U000218,2025-01-30T13:25:51.061544,3,275.12,0.0,30.63,0.0,305.75,COD,cancelled,Rosemouth,Estonia
O00000100,U000256,2024-12-19T06:48:04.788695,2,246.28,0.0,14.65,0.0,260.93,COD,cancelled,East Kimberly,Western Sahara
O00000101,U000832,2024-04-21T09:53:14.190049,1,8.2,4.23,0.74,0.0,13.17,UPI,shipped,Williamsfurt,Guyana
O00000102,U000087,2024-05-23T09:25:00.933046,1,19.69,6.7,2.19,0.0,28.58,Gift Card,completed,Coffeyside,Saint Kitts and Nevis
O00000103,U000877,2025-10-05T10:27:42.117215,2,40.91,6.16,4.72,0.0,51.79,UPI,returned,Haileyfurt,Estonia
O00000104,U000177,2025-05-21T14:22:44.704760,4,1227.63,0.0,63.76,0.0,1291.39,COD,completed,New Virginialand,Reunion
O00000105,U000170,2024-09-02T03:20:09.651879,3,1958.71,0.0,182.29,0.0,2141.0,Paypal,cancelled,Wilcoxhaven,Togo
O00000106,U000659,2025-11-11T19:47:22.966941,1,216.09,0.0,16.45,0.0,232.54,COD,processing,Jonathanville,Uganda
O00000107,U000382,2024-10-10T22:44:20.656048,3,95.01,4.57,9.21,9.6,108.79,Gift Card,processing,Charlesburgh,San Marino
O00000108,U000810,2024-05-23T20:44:08.174042,1,840.89,0.0,45.24,0.0,886.13,Credit Card,returned,Melissaland,Svalbard & Jan Mayen Islands
O00000109,U000007,2024-03-03T02:25:28.905738,2,965.08,0.0,70.78,0.0,1035.86,Credit Card,returned,Carlshire,Iran
O00000110,U000921,2024-12-12T17:26:15.361869,1,144.12,0.0,14.17,0.0,158.29,Credit Card,completed,East Kimberlyport,Montenegro
O00000111,U000954,2024-11-22T22:30:09.039654,3,553.36,0.0,29.72,0.0,583.08,Debit Card,processing,Stephaniechester,Uruguay
O00000112,U000276,2024-12-13T23:23:52.620150,1,12.65,9.79,1.07,0.0,23.51,Debit Card,cancelled,New Shellyland,Saint Martin
O00000113,U000672,2025-10-08T07:25:35.666728,1,21.54,6.14,2.57,0.0,30.25,Credit Card,shipped,Lake Aprilfort,Falkland Islands (Malvinas)
O00000114,U000214,2024-01-12T01:02:37.958269,2,210.19,0.0,11.5,0.0,221.69,Debit Card,processing,Stanleyborough,Georgia
O00000115,U000532,2024-09-16T22:33:29.689651,4,238.97,0.0,20.41,4.55,259.38,Gift Card,completed,Pamelaville,Malaysia
O00000116,U000677,2024-10-14T06:56:56.544935,5,1433.21,0.0,156.71,0.0,1589.92,Paypal,processing,Joneston,Gabon
O00000117,U000452,2025-10-19T17:06:45.763630,2,720.88,0.0,67.19,0.0,788.07,Gift Card,cancelled,East Misty,Tokelau
O00000118,U000461,2024-03-09T10:41:01.843830,1,118.75,0.0,7.47,0.0,126.22,UPI,cancelled,Port Christina,Saint Pierre and Miquelon
O00000119,U000280,2024-09-03T12:12:08.464932,2,802.47,0.0,70.83,0.0,873.3,Gift Card,shipped,Woodmouth,Heard Island and McDonald Islands
O00000120,U000331,2024-07-31T00:39:35.984982,1,101.68,0.0,9.84,0.0,111.52,COD,shipped,Jenniferstad,Mauritius
O00000121,U000447,2024-02-14T16:03:24.304263,3,934.92,0.0,99.09,0.0,1034.01,Gift Card,shipped,New Amanda,Turkey
O00000122,U000178,2025-10-09T00:33:39.067319,3,361.33,0.0,21.1,0.0,382.43,Gift Card,completed,Bennettside,Trinidad and Tobago
O00000123,U000708,2025-03-21T23:15:43.800478,1,187.96,0.0,9.85,0.0,197.81,UPI,processing,South John,India
O00000124,U000077,2024-06-05T21:09:16.805863,2,75.63,6.52,4.52,0.0,86.67,UPI,shipped,Smithberg,United States Minor Outlying Islands
O00000125,U000386,2025-04-24T15:07:40.595218,2,723.62,0.0,54.3,0.0,777.92,COD,cancelled,Lake Aprilmouth,Kuwait
O00000126,U000300,2025-03-20T21:30:08.199541,1,254.62,0.0,25.32,0.0,279.94,Gift Card,processing,Lake Rachel,Serbia
O00000127,U000529,2025-07-08T03:44:28.554132,1,56.19,6.49,5.64,18.41,68.32,Paypal,shipped,Kennethland,Bulgaria
O00000128,U000549,2025-08-22T03:27:39.095027,1,98.18,10.19,6.82,0.0,115.19,UPI,returned,Robertside,United States Virgin Islands
O00000129,U000979,2024-01-11T20:11:38.704738,2,182.39,0.0,15.3,54.52,197.69,Gift Card,processing,South Mitchell,Indonesia
O00000130,U000654,2025-10-21T12:52:22.772995,5,727.59,0.0,42.97,0.0,770.56,Paypal,processing,Lake Angel,Tonga
O00000131,U000844,2025-05-14T01:35:29.388224,2,191.38,0.0,17.84,0.0,209.22,Gift Card,completed,Morrowside,Montserrat
O00000132,U000422,2025-09-05T18:35:20.059065,1,124.64,0.0,7.62,54.85,132.26,Credit Card,completed,West Caitlinhaven,Afghanistan
O00000133,U000484,2024-02-01T00:47:08.092172,1,18.29,9.27,1.33,0.0,28.89,Debit Card,cancelled,Michellebury,Bouvet Island (Bouvetoya)
O00000134,U000790,2025-08-02T15:09:41.377375,1,275.35,0.0,27.8,126.17,303.15,Gift Card,shipped,Lake Lori,Reunion
O00000135,U000389,2024-05-01T07:30:54.932181,2,116.12,0.0,6.11,7.15,122.23,UPI,completed,Gonzalezberg,Jersey
O00000136,U000286,2024-01-07T08:14:28.024324,1,152.18,0.0,11.6,0.0,163.78,UPI,completed,Mikaylastad,Solomon Islands
O00000137,U000849,2024-12-20T17:41:56.662992,1,25.89,6.23,2.56,0.0,34.68,Gift Card,cancelled,New Brooke,Holy See (Vatican City State)
O00000138,U000873,2024-04-05T21:51:26.992182,1,64.71,8.38,4.14,0.0,77.23,Paypal,shipped,West Deannaland,Argentina
O00000139,U000975,2024-11-17T08:26:43.276108,2,172.03,0.0,11.02,0.0,183.05,Debit Card,shipped,Andersonview,Palau
O00000140,U000350,2024-01-27T16:04:23.350341,2,1263.28,0.0,80.17,0.0,1343.45,COD,completed,Port Karenside,Timor-Leste
O00000141,U000925,2025-02-11T19:17:34.349860,3,201.31,0.0,21.48,0.0,222.79,Credit Card,returned,North Tylerbury,Armenia
O00000142,U000032,2024-05-23T12:29:49.183990,1,68.96,8.33,7.62,0.0,84.91,Paypal,cancelled,Michelleview,Greenland
O00000143,U000460,2025-05-21T01:21:52.951242,2,439.29,0.0,44.36,0.0,483.65,COD,shipped,Vasquezburgh,Norfolk Island
O00000144,U000558,2024-07-19T11:16:35.245186,4,601.99,0.0,45.12,0.0,647.11,COD,cancelled,Geraldport,Mali
O00000145,U000003,2025-02-26T09:47:00.305298,1,68.96,7.23,6.47,0.0,82.66,Credit Card,processing,Cassandraton,Tanzania
O00000146,U000814,2025-07-17T02:29:00.845308,2,1037.52,0.0,60.44,6.73,1097.96,Debit Card,completed,Lake Ronald,Grenada
O00000147,U000023,2024-10-13T18:13:47.578169,2,443.06,0.0,29.1,0.0,472.16,Paypal,returned,Sarahborough,Mongolia
O00000148,U000900,2024-04-29T10:50:56.002794,2,302.32,0.0,33.58,0.0,335.9,Debit Card,returned,Carlaburgh,Uruguay
O00000149,U000959,2024-12-20T17:19:56.525458,1,653.7,0.0,71.73,187.19,725.43,COD,processing,North Jamie,Fiji
O00000150,U000489,2024-04-13T13:03:44.222914,2,592.55,0.0,52.27,0.0,644.82,Credit Card,processing,Danielfort,Romania
O00000151,U000807,2025-07-07T15:23:56.912751,3,514.59,0.0,26.81,0.0,541.4,Paypal,shipped,Andrewburgh,Cocos (Keeling) Islands
O00000152,U000710,2025-04-02T08:51:02.740375,2,66.87,10.0,4.0,0.0,80.87,COD,returned,Jenkinsside,United States of America
O00000153,U000621,2024-09-06T16:57:23.232794,1,281.13,0.0,27.11,0.0,308.24,Credit Card,cancelled,Matthewburgh,Sri Lanka
O00000154,U000757,2025-09-24T16:03:10.449816,2,314.42,0.0,28.13,0.0,342.55,COD,completed,New Devin,Palau
O00000155,U000986,2025-06-22T00:06:58.053215,6,309.58,0.0,18.28,4.09,327.86,UPI,completed,Saraberg,Cote d'Ivoire
O00000156,U000420,2024-01-21T12:09:13.538629,1,62.17,5.41,4.63,15.44,72.21,Gift Card,returned,New Richard,Somalia
O00000157,U000154,2024-05-19T14:07:34.763613,3,682.6,0.0,78.63,0.0,761.23,Credit Card,cancelled,West Angela,Montenegro
O00000158,U000713,2024-10-03T02:23:20.175578,3,224.04,0.0,22.77,0.0,246.81,COD,shipped,New Craigport,Chile
O00000159,U000208,2024-09-12T06:11:25.936810,2,251.8,0.0,20.16,27.63,271.96,Gift Card,processing,Lake Katrina,Nauru
O00000160,U000993,2025-07-29T12:49:57.411951,1,779.68,0.0,62.89,0.0,842.57,COD,returned,New Meganburgh,Marshall Islands
O00000161,U000141,2025-03-01T09:19:59.369468,3,905.28,0.0,60.36,0.0,965.64,Credit Card,processing,East Melissamouth,Cook Islands
O00000162,U000502,2024-01-20T11:29:52.163501,3,547.69,0.0,47.94,45.95,595.63,Credit Card,completed,North Heather,Spain
O00000163,U000236,2024-01-18T16:01:32.953006,2,218.9,0.0,11.82,0.0,230.72,Credit Card,cancelled,Ayalaberg,Burundi
O00000164,U000472,2024-01-20T11:48:17.831982,2,21.15,6.17,1.95,0.0,29.27,Debit Card,returned,Lake Linda,Faroe Islands
O00000165,U000470,2024-11-17T19:45:58.181668,3,336.36,0.0,32.28,0.0,368.64,Credit Card,returned,North Abigailport,Lao People's Democratic Republic
O00000166,U000442,2025-05-17T16:57:10.733600,1,145.98,0.0,9.4,0.0,155.38,UPI,returned,Edwinborough,Kenya
O00000167,U000934,2024-04-08T17:29:55.601748,1,19.74,10.8,1.6,0.0,32.14,Paypal,returned,Lopezchester,Costa Rica
O00000168,U000273,2024-10-05T20:03:11.240090,3,303.63,0.0,26.38,0.0,330.01,Paypal,returned,Port Jennamouth,North Macedonia
O00000169,U000089,2025-01-04T00:01:13.165014,5,288.14,0.0,20.05,22.9,308.19,Debit Card,cancelled,Blankenshipport,Swaziland
O00000170,U000546,2025-06-05T13:14:15.615264,2,399.25,0.0,28.48,0.0,427.73,COD,cancelled,Lake Michaelberg,Ghana
O00000171,U000870,2025-05-09T04:55:58.529460,2,218.6,0.0,22.99,0.0,241.59,Credit Card,cancelled,Rachelside,South Africa
O00000172,U000559,2024-04-26T02:27:20.276936,1,124.52,0.0,11.89,0.0,136.41,Gift Card,completed,South Hannahville,Bulgaria
O00000173,U000355,2024-03-09T11:29:30.831868,3,156.0,0.0,11.08,27.27,167.08,Credit Card,completed,Hammondborough,Mozambique
O00000174,U000016,2024-08-26T11:42:27.818977,2,504.14,0.0,42.69,0.0,546.83,Gift Card,shipped,New David,Libyan Arab Jamahiriya
O00000175,U000204,2024-06-01T07:50:16.615900,3,97.52,9.11,8.51,0.0,115.14,UPI,returned,West Kevin,Chile
O00000176,U000693,2024-10-14T04:47:50.404766,1,53.8,11.47,6.12,20.81,71.39,Paypal,returned,Port Neil,Montserrat
O00000177,U000492,2024-02-15T08:48:11.163540,1,159.52,0.0,14.57,0.0,174.09,Credit Card,returned,Bryanfort,Gabon
O00000178,U000674,2025-10-24T14:40:41.750074,6,1417.61,0.0,151.0,0.0,1568.61,COD,shipped,Lanceville,Chad
O00000179,U000710,2024-11-13T16:08:14.556829,1,57.39,11.43,4.02,0.0,72.84,COD,shipped,Jenkinsside,United States of America
O00000180,U000302,2024-10-10T21:54:05.255928,6,2471.22,0.0,295.27,0.0,2766.49,Debit Card,cancelled,Morenochester,Trinidad and Tobago
O00000181,U000968,2025-09-06T07:55:19.382865,1,247.01,0.0,17.2,0.0,264.21,UPI,returned,Wilsonmouth,Panama
O00000182,U000668,2024-10-28T05:51:58.579917,1,197.6,0.0,17.39,28.22,214.99,Paypal,processing,East Juliaview,Kenya
O00000183,U000181,2025-08-09T03:07:39.626322,2,77.46,6.57,7.45,0.0,91.48,UPI,processing,East Joyfurt,Netherlands Antilles
O00000184,U000514,2025-07-07T15:31:21.991230,1,70.99,9.12,7.7,11.75,87.81,Debit Card,shipped,Port Jamesmouth,Cyprus
O00000185,U000781,2024-01-01T11:50:46.500862,5,1228.3,0.0,134.01,0.0,1362.31,Debit Card,shipped,Port Amber,United States Minor Outlying Islands
O00000186,U000882,2024-11-21T18:00:46.071207,1,9.08,5.85,0.84,4.5,15.77,Paypal,completed,Port Ricardo,Trinidad and Tobago
O00000187,U000423,2025-09-07T06:59:46.497270,2,354.94,0.0,37.29,0.0,392.23,Paypal,shipped,Samanthahaven,Swaziland
O00000188,U000827,2024-06-24T16:38:25.309953,1,493.62,0.0,46.46,0.0,540.08,Debit Card,processing,New Alex,Bahrain
O00000189,U000775,2024-08-08T20:20:23.781441,2,41.55,9.06,2.61,0.0,53.22,COD,shipped,East Nicholas,Cape Verde
O00000190,U000747,2025-01-04T08:24:42.046690,1,182.08,0.0,9.64,0.0,191.72,UPI,cancelled,Holdertown,Botswana
O00000191,U000139,2025-10-16T12:33:29.887603,2,90.85,5.69,8.86,19.72,105.4,Paypal,processing,New Ericmouth,Zambia
O00000192,U000730,2025-04-02T04:58:44.036811,2,170.68,0.0,12.71,0.0,183.39,Credit Card,processing,North Alexander,United States Virgin Islands
O00000193,U000392,2024-03-06T22:28:27.587905,2,403.0,0.0,26.84,0.0,429.84,Paypal,processing,Hamptonmouth,Peru
O00000194,U000730,2024-12-03T01:49:58.283180,3,297.59,0.0,28.25,0.0,325.84,Paypal,cancelled,North Alexander,United States Virgin Islands
O00000195,U000328,2025-07-22T11:09:46.203912,5,399.45,0.0,46.33,3.11,445.78,Paypal,processing,Lake Lisa,Puerto Rico
O00000196,U000828,2025-01-25T17:28:05.396028,3,345.56,0.0,31.58,1.32,377.14,Credit Card,processing,Williamsmouth,Aruba
O00000197,U000134,2024-03-27T01:40:26.914650,1,190.08,0.0,13.67,0.0,203.75,UPI,processing,Michaelton,Comoros
O00000198,U000867,2024-12-18T01:52:25.854885,1,65.12,9.56,7.54,0.0,82.22,Gift Card,processing,Lisaville,San Marino
O00000199,U000253,2025-07-04T22:13:33.061576,1,76.3,6.74,9.14,27.92,92.18,Credit Card,completed,South Travis,Costa Rica
